long,lat,mdd
-12.5,11.5,NA
-11.5,11.5,NA
-10.5,11.5,NA
-9.5,11.5,NA
-8.5,11.5,NA
-7.5,11.5,NA
-6.5,11.5,NA
-5.5,11.5,NA
-4.5,11.5,NA
-3.5,11.5,NA
-2.5,11.5,NA
-1.5,11.5,NA
-0.5,11.5,NA
-39.5,10.5,269.03
-38.5,10.5,269.72
-37.5,10.5,271.76
-36.5,10.5,275.79
-35.5,10.5,280.98
-34.5,10.5,284.20
-33.5,10.5,288.28
-32.5,10.5,292.23
-31.5,10.5,295.97
-30.5,10.5,297.31
-29.5,10.5,298.76
-28.5,10.5,299.64
-27.5,10.5,300.68
-26.5,10.5,302.91
-25.5,10.5,303.05
-24.5,10.5,301.38
-23.5,10.5,298.00
-22.5,10.5,291.56
-21.5,10.5,280.35
-20.5,10.5,268.84
-19.5,10.5,250.51
-18.5,10.5,221.51
-17.5,10.5,202.84
-16.5,10.5,NA
-15.5,10.5,NA
-14.5,10.5,NA
-13.5,10.5,NA
-12.5,10.5,NA
-11.5,10.5,NA
-10.5,10.5,NA
-9.5,10.5,NA
-8.5,10.5,NA
-7.5,10.5,NA
-6.5,10.5,NA
-5.5,10.5,NA
-4.5,10.5,NA
-3.5,10.5,NA
-2.5,10.5,NA
-1.5,10.5,NA
-0.5,10.5,NA
-39.5,9.5,263.81
-38.5,9.5,265.08
-37.5,9.5,267.25
-36.5,9.5,270.28
-35.5,9.5,273.76
-34.5,9.5,277.14
-33.5,9.5,280.91
-32.5,9.5,286.40
-31.5,9.5,289.34
-30.5,9.5,292.37
-29.5,9.5,295.72
-28.5,9.5,298.64
-27.5,9.5,299.79
-26.5,9.5,301.46
-25.5,9.5,304.21
-24.5,9.5,304.20
-23.5,9.5,301.91
-22.5,9.5,294.93
-21.5,9.5,284.93
-20.5,9.5,275.32
-19.5,9.5,254.11
-18.5,9.5,221.52
-17.5,9.5,193.19
-16.5,9.5,NA
-15.5,9.5,NA
-14.5,9.5,NA
-13.5,9.5,NA
-12.5,9.5,NA
-11.5,9.5,NA
-10.5,9.5,NA
-9.5,9.5,NA
-8.5,9.5,NA
-7.5,9.5,NA
-6.5,9.5,NA
-5.5,9.5,NA
-4.5,9.5,NA
-3.5,9.5,NA
-2.5,9.5,NA
-1.5,9.5,NA
-0.5,9.5,NA
-39.5,8.5,258.22
-38.5,8.5,259.49
-37.5,8.5,260.75
-36.5,8.5,263.08
-35.5,8.5,265.30
-34.5,8.5,269.92
-33.5,8.5,273.55
-32.5,8.5,277.77
-31.5,8.5,281.76
-30.5,8.5,285.30
-29.5,8.5,286.96
-28.5,8.5,290.17
-27.5,8.5,292.60
-26.5,8.5,293.68
-25.5,8.5,295.43
-24.5,8.5,297.78
-23.5,8.5,296.51
-22.5,8.5,292.41
-21.5,8.5,290.01
-20.5,8.5,283.31
-19.5,8.5,267.31
-18.5,8.5,243.15
-17.5,8.5,213.55
-16.5,8.5,186.47
